YEAR,UNIQUE_PROVIDERS,PROVIDER_TYPE_CD,PROVIDER_TYPE_DESC,SITE_OF_SERVICE,PAYER,RESOURCE_UTILIZATION_BAND,RUCA_PROVIDER_CLASS,RUCA_CLASS,NUM_PROCEDURES,UNIQUE_PATIENTS,PROC_PER_PROV_MED,PROC_PER_PROV_MEAN,PROC_PER_PROV_SD,CHARGE_AMT_MED,CHARGE_AMT_MEAN,CHARGE_AMT_SD,CHARGE_AMT_SUM,INSURER_PAID_AMT_MED,INSURER_PAID_AMT_MEAN,INSURER_PAID_AMT_SD,INSURER_PAID_AMT_SUM,MEMBER_PAID_AMT_MED,MEMBER_PAID_AMT_MEAN,MEMBER_PAID_AMT_SD,MEMBER_PAID_AMT_SUM,TOTAL_PAID_AMT_MED,TOTAL_PAID_AMT_MEAN,TOTAL_PAID_AMT_SD,TOTAL_PAID_AMT_SUM
2019,11,14-01,GENERAL PRACTICE,1,Commercial,1,1,1,"3,053",296,59.00,277.55,403.50,$40.00,$76.50,$136.17,"$233,553.11",$8.59,$35.09,$84.85,"$107,136.75",$0.00,$27.73,$66.04,"$84,650.23",$40.00,$62.82,$103.41,"$191,786.98"
2019,22,14-01,GENERAL PRACTICE,1,Commercial,1,5,1,682,74,5.50,31.00,74.40,$49.00,$113.17,$122.89,"$77,182.82",$24.00,$67.48,$94.14,"$46,021.71",$0.00,$17.04,$24.29,"$11,622.96",$49.00,$84.52,$91.76,"$57,644.67"
2019,13,14-01,GENERAL PRACTICE,1,Commercial,2,1,1,"4,635",596,86.00,356.54,574.02,$40.00,$88.01,$105.38,"$407,941.40",$2.51,$38.42,$76.15,"$178,060.77",$15.00,$35.98,$69.70,"$166,757.64",$40.00,$74.39,$92.48,"$344,818.41"
2019,25,14-01,GENERAL PRACTICE,1,Commercial,2,5,1,701,121,5.00,28.04,57.78,$49.00,$142.98,$203.48,"$100,227.16",$18.36,$48.07,$81.12,"$33,699.09",$10.78,$53.06,$132.23,"$37,193.51",$49.00,$101.13,$142.81,"$70,892.60"
2019,14,14-01,GENERAL PRACTICE,1,Commercial,2,5,2,128,31,3.00,9.14,12.56,$49.00,$521.02,"$1,015.46","$66,690.00",$0.36,$64.44,$139.49,"$8,248.43",$49.00,$258.01,$541.27,"$33,025.11",$49.00,$322.45,$610.79,"$41,273.54"
2019,18,14-01,GENERAL PRACTICE,1,Commercial,3,1,1,"9,395","1,657",244.50,521.94,750.11,$40.00,$140.67,$602.52,"$1,321,586.43",$12.24,$72.66,$365.11,"$682,667.01",$1.50,$29.76,$92.51,"$279,576.96",$37.09,$102.42,$388.50,"$962,243.97"
2019,13,14-01,GENERAL PRACTICE,1,Commercial,3,1,2,893,173,63.00,68.69,65.60,$46.35,$140.63,$446.39,"$125,581.27",$6.96,$56.58,$164.26,"$50,522.98",$10.00,$46.99,$213.19,"$41,964.62",$34.37,$103.57,$346.35,"$92,487.60"
2019,44,14-01,GENERAL PRACTICE,1,Commercial,3,5,1,"1,495",343,2.50,33.98,86.82,$112.00,$202.42,$410.00,"$302,611.52",$27.01,$91.60,$225.81,"$136,938.42",$3.38,$41.41,$118.98,"$61,907.94",$67.60,$133.01,$251.37,"$198,846.36"
2019,17,14-01,GENERAL PRACTICE,1,Commercial,3,5,2,221,72,5.00,13.00,18.82,$194.21,$467.06,$838.65,"$103,221.06",$21.67,$153.25,$318.22,"$33,867.27",$40.00,$124.72,$225.11,"$27,562.90",$124.38,$277.96,$481.99,"$61,430.17"
2019,12,14-01,GENERAL PRACTICE,1,Commercial,3,5,3,264,58,8.50,22.00,41.87,$189.11,$187.32,$98.66,"$49,451.64",$73.31,$73.21,$79.62,"$19,328.53",$11.19,$43.51,$66.98,"$11,486.35",$119.40,$116.72,$75.74,"$30,814.88"
2019,15,14-01,GENERAL PRACTICE,1,Commercial,3,5,4,288,70,2.00,19.20,36.14,$177.94,$210.63,$357.08,"$60,662.25",$0.00,$50.22,$177.96,"$14,463.93",$49.00,$73.47,$85.96,"$21,158.95",$91.25,$123.69,$179.05,"$35,622.88"
2019,17,14-01,GENERAL PRACTICE,1,Commercial,4,1,1,"2,736",466,78.00,160.94,192.29,$49.00,$180.48,$904.67,"$493,783.52",$19.73,$106.73,$621.32,"$292,007.68",$0.00,$16.26,$77.66,"$44,492.71",$26.46,$122.99,$626.36,"$336,500.39"
2019,13,14-01,GENERAL PRACTICE,1,Commercial,4,1,2,190,47,9.00,14.62,19.06,$75.00,$293.63,"$1,174.84","$55,789.44",$36.00,$176.43,$739.27,"$33,521.72",$0.00,$19.25,$61.09,"$3,657.84",$58.62,$195.68,$738.11,"$37,179.56"
2019,20,14-01,GENERAL PRACTICE,1,Commercial,4,5,1,454,96,3.50,22.70,40.34,$70.00,$241.20,$611.88,"$109,506.53",$22.20,$106.67,$290.79,"$48,428.31",$0.00,$21.51,$64.86,"$9,767.40",$42.05,$128.18,$306.89,"$58,195.71"
2019,11,14-01,GENERAL PRACTICE,1,Commercial,4,5,2,78,26,5.00,7.09,7.31,$196.06,$217.62,$170.53,"$16,974.17",$38.53,$69.78,$99.70,"$5,442.73",$0.00,$42.87,$76.64,"$3,343.83",$88.71,$112.65,$101.29,"$8,786.56"
2019,16,14-01,GENERAL PRACTICE,1,Commercial,5,1,1,853,192,36.00,53.31,55.88,$58.00,$188.83,$518.05,"$161,072.08",$20.00,$105.65,$315.34,"$90,120.63",$0.00,$11.64,$48.82,"$9,928.44",$24.70,$117.29,$318.69,"$100,049.07"
